kids_alphabet | Levels: 200 | Quests: 600
kids_numbers | Levels: 200 | Quests: 600
kids_colors | Levels: 200 | Quests: 600
kids_shapes | Levels: 200 | Quests: 600
kids_animals | Levels: 200 | Quests: 600
kids_fruits | Levels: 200 | Quests: 600
kids_family | Levels: 200 | Quests: 600
kids_school | Levels: 200 | Quests: 600
kids_verbs | Levels: 200 | Quests: 600
kids_emotions | Levels: 200 | Quests: 600
kids_routine | Levels: 200 | Quests: 600
kids_opposites | Levels: 200 | Quests: 600
kids_prepositions | Levels: 200 | Quests: 600
kids_phonics | Levels: 200 | Quests: 600
kids_jumble | Levels: 200 | Quests: 600
kids_time | Levels: 200 | Quests: 600
kids_nature | Levels: 200 | Quests: 600
kids_home | Levels: 200 | Quests: 600
kids_food | Levels: 200 | Quests: 600
kids_transport | Levels: 200 | Quests: 600
kids_day_night | Levels: 200 | Quests: 600

